,desc,trans,origin,engine,price
1182,2015 Toyota Camry,automatic,foreign,petrol,5700000
1183,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1184,2008 Honda CR-V,automatic,foreign,petrol,2800000
1185,2005 Volkswagen LT,,foreign,diesel,2500000
1186,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1187,2013 Toyota Venza,automatic,foreign,petrol,5000000
1188,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1189,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1190,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1191,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1192,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1193,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1194,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1195,2005 Toyota HiAce,,foreign,petrol,3450000
1196,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1197,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1198,2012 Toyota Venza,automatic,foreign,petrol,5500000
1199,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1200,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1201,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1202,2015 Toyota Camry,automatic,foreign,petrol,5700000
1203,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1204,2008 Honda CR-V,automatic,foreign,petrol,2800000
1205,2005 Volkswagen LT,,foreign,diesel,2500000
1206,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1207,2013 Toyota Venza,automatic,foreign,petrol,5000000
1208,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1209,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1210,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1211,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1212,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1213,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1214,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1215,2005 Toyota HiAce,,foreign,petrol,3450000
1216,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1217,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1218,2012 Toyota Venza,automatic,foreign,petrol,5500000
1219,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1220,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1221,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1222,2015 Toyota Camry,automatic,foreign,petrol,5700000
1223,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1224,2008 Honda CR-V,automatic,foreign,petrol,2800000
1225,2005 Volkswagen LT,,foreign,diesel,2500000
1226,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1227,2013 Toyota Venza,automatic,foreign,petrol,5000000
1228,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1229,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1230,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1231,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1232,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1233,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1234,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1235,2005 Toyota HiAce,,foreign,petrol,3450000
1236,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1237,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1238,2012 Toyota Venza,automatic,foreign,petrol,5500000
1239,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1240,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1241,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1242,2015 Toyota Camry,automatic,foreign,petrol,5700000
1243,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1244,2008 Honda CR-V,automatic,foreign,petrol,2800000
1245,2005 Volkswagen LT,,foreign,diesel,2500000
1246,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1247,2013 Toyota Venza,automatic,foreign,petrol,5000000
1248,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1249,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1250,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1251,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1252,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1253,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1254,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1255,2005 Toyota HiAce,,foreign,petrol,3450000
1256,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1257,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1258,2012 Toyota Venza,automatic,foreign,petrol,5500000
1259,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1260,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1261,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1262,2015 Toyota Camry,automatic,foreign,petrol,5700000
1263,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1264,2008 Honda CR-V,automatic,foreign,petrol,2800000
1265,2005 Volkswagen LT,,foreign,diesel,2500000
1266,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1267,2013 Toyota Venza,automatic,foreign,petrol,5000000
1268,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1269,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1270,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1271,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1272,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1273,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1274,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1275,2005 Toyota HiAce,,foreign,petrol,3450000
1276,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1277,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1278,2012 Toyota Venza,automatic,foreign,petrol,5500000
1279,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1280,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1281,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1282,2015 Toyota Camry,automatic,foreign,petrol,5700000
1283,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1284,2008 Honda CR-V,automatic,foreign,petrol,2800000
1285,2005 Volkswagen LT,,foreign,diesel,2500000
1286,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1287,2013 Toyota Venza,automatic,foreign,petrol,5000000
1288,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1289,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1290,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1291,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1292,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1293,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1294,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1295,2005 Toyota HiAce,,foreign,petrol,3450000
1296,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1297,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1298,2012 Toyota Venza,automatic,foreign,petrol,5500000
1299,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1300,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1301,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1302,2015 Toyota Camry,automatic,foreign,petrol,5700000
1303,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1304,2008 Honda CR-V,automatic,foreign,petrol,2800000
1305,2005 Volkswagen LT,,foreign,diesel,2500000
1306,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1307,2013 Toyota Venza,automatic,foreign,petrol,5000000
1308,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1309,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1310,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1311,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1312,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1313,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1314,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1315,2005 Toyota HiAce,,foreign,petrol,3450000
1316,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1317,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1318,2012 Toyota Venza,automatic,foreign,petrol,5500000
1319,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1320,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1321,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1322,2015 Toyota Camry,automatic,foreign,petrol,5700000
1323,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1324,2008 Honda CR-V,automatic,foreign,petrol,2800000
1325,2005 Volkswagen LT,,foreign,diesel,2500000
1326,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1327,2013 Toyota Venza,automatic,foreign,petrol,5000000
1328,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1329,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1330,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1331,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1332,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1333,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1334,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1335,2005 Toyota HiAce,,foreign,petrol,3450000
1336,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1337,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1338,2012 Toyota Venza,automatic,foreign,petrol,5500000
1339,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1340,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1341,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1342,2015 Toyota Camry,automatic,foreign,petrol,5700000
1343,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1344,2008 Honda CR-V,automatic,foreign,petrol,2800000
1345,2005 Volkswagen LT,,foreign,diesel,2500000
1346,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1347,2013 Toyota Venza,automatic,foreign,petrol,5000000
1348,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1349,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1350,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1351,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1352,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1353,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1354,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1355,2005 Toyota HiAce,,foreign,petrol,3450000
1356,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1357,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1358,2012 Toyota Venza,automatic,foreign,petrol,5500000
1359,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1360,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1361,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1362,2015 Toyota Camry,automatic,foreign,petrol,5700000
1363,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1364,2008 Honda CR-V,automatic,foreign,petrol,2800000
1365,2005 Volkswagen LT,,foreign,diesel,2500000
1366,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1367,2013 Toyota Venza,automatic,foreign,petrol,5000000
1368,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1369,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1370,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1371,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1372,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1373,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1374,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1375,2005 Toyota HiAce,,foreign,petrol,3450000
1376,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1377,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1378,2012 Toyota Venza,automatic,foreign,petrol,5500000
1379,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1380,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1381,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1382,2015 Toyota Camry,automatic,foreign,petrol,5700000
1383,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1384,2008 Honda CR-V,automatic,foreign,petrol,2800000
1385,2005 Volkswagen LT,,foreign,diesel,2500000
1386,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1387,2013 Toyota Venza,automatic,foreign,petrol,5000000
1388,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1389,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1390,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1391,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1392,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1393,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1394,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1395,2005 Toyota HiAce,,foreign,petrol,3450000
1396,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1397,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1398,2012 Toyota Venza,automatic,foreign,petrol,5500000
1399,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1400,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1401,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1402,2015 Toyota Camry,automatic,foreign,petrol,5700000
1403,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1404,2008 Honda CR-V,automatic,foreign,petrol,2800000
1405,2005 Volkswagen LT,,foreign,diesel,2500000
1406,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1407,2013 Toyota Venza,automatic,foreign,petrol,5000000
1408,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1409,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1410,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1411,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1412,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1413,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1414,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1415,2005 Toyota HiAce,,foreign,petrol,3450000
1416,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1417,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1418,2012 Toyota Venza,automatic,foreign,petrol,5500000
1419,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1420,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1421,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1422,2015 Toyota Camry,automatic,foreign,petrol,5700000
1423,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1424,2008 Honda CR-V,automatic,foreign,petrol,2800000
1425,2005 Volkswagen LT,,foreign,diesel,2500000
1426,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1427,2013 Toyota Venza,automatic,foreign,petrol,5000000
1428,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1429,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1430,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1431,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1432,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1433,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1434,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1435,2005 Toyota HiAce,,foreign,petrol,3450000
1436,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1437,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1438,2012 Toyota Venza,automatic,foreign,petrol,5500000
1439,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1440,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1441,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1442,2015 Toyota Camry,automatic,foreign,petrol,5700000
1443,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1444,2008 Honda CR-V,automatic,foreign,petrol,2800000
1445,2005 Volkswagen LT,,foreign,diesel,2500000
1446,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1447,2013 Toyota Venza,automatic,foreign,petrol,5000000
1448,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1449,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1450,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1451,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1452,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1453,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1454,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1455,2005 Toyota HiAce,,foreign,petrol,3450000
1456,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1457,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1458,2012 Toyota Venza,automatic,foreign,petrol,5500000
1459,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1460,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1461,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1462,2015 Toyota Camry,automatic,foreign,petrol,5700000
1463,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1464,2008 Honda CR-V,automatic,foreign,petrol,2800000
1465,2005 Volkswagen LT,,foreign,diesel,2500000
1466,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1467,2013 Toyota Venza,automatic,foreign,petrol,5000000
1468,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1469,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1470,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1471,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1472,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1473,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1474,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1475,2005 Toyota HiAce,,foreign,petrol,3450000
1476,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1477,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1478,2012 Toyota Venza,automatic,foreign,petrol,5500000
1479,2005  Lexus ES 330,automatic,foreign,petrol,1800000
1480,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1481,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1482,2015 Toyota Camry,automatic,foreign,petrol,5700000
1483,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1484,2008 Honda CR-V,automatic,foreign,petrol,2800000
1485,2005 Volkswagen LT,,foreign,diesel,2500000
1486,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1487,2013 Toyota Venza,automatic,foreign,petrol,5000000
1488,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1489,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1490,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1491,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1492,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1493,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1494,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1495,2005 Toyota HiAce,,foreign,petrol,3450000
1496,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1497,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1498,2012 Toyota Venza,automatic,foreign,petrol,5500000
1499,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1500,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1501,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1502,2015 Toyota Camry,automatic,foreign,petrol,5700000
1503,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1504,2008 Honda CR-V,automatic,foreign,petrol,2800000
1505,2005 Volkswagen LT,,foreign,diesel,2500000
1506,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1507,2013 Toyota Venza,automatic,foreign,petrol,5000000
1508,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1509,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1510,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1511,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1512,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1513,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1514,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1515,2005 Toyota HiAce,,foreign,petrol,3450000
1516,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1517,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1518,2012 Toyota Venza,automatic,foreign,petrol,5500000
1519,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1520,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1521,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1522,2015 Toyota Camry,automatic,foreign,petrol,5700000
1523,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1524,2008 Honda CR-V,automatic,foreign,petrol,2800000
1525,2005 Volkswagen LT,,foreign,diesel,2500000
1526,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1527,2013 Toyota Venza,automatic,foreign,petrol,5000000
1528,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1529,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1530,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1531,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1532,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1533,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1534,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1535,2005 Toyota HiAce,,foreign,petrol,3450000
1536,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1537,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1538,2012 Toyota Venza,automatic,foreign,petrol,5500000
1539,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1540,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1541,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1542,2015 Toyota Camry,automatic,foreign,petrol,5700000
1543,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1544,2008 Honda CR-V,automatic,foreign,petrol,2800000
1545,2005 Volkswagen LT,,foreign,diesel,2500000
1546,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1547,2013 Toyota Venza,automatic,foreign,petrol,5000000
1548,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1549,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1550,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1551,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1552,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1553,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1554,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1555,2005 Toyota HiAce,,foreign,petrol,3450000
1556,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1557,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1558,2012 Toyota Venza,automatic,foreign,petrol,5500000
1559,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1560,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1561,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1562,2015 Toyota Camry,automatic,foreign,petrol,5700000
1563,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1564,2008 Honda CR-V,automatic,foreign,petrol,2800000
1565,2005 Volkswagen LT,,foreign,diesel,2500000
1566,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1567,2013 Toyota Venza,automatic,foreign,petrol,5000000
1568,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1569,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1570,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1571,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1572,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1573,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1574,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1575,2005 Toyota HiAce,,foreign,petrol,3450000
1576,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1577,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1578,2012 Toyota Venza,automatic,foreign,petrol,5500000
1579,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1580,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1581,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1582,2015 Toyota Camry,automatic,foreign,petrol,5700000
1583,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1584,2008 Honda CR-V,automatic,foreign,petrol,2800000
1585,2005 Volkswagen LT,,foreign,diesel,2500000
1586,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1587,2013 Toyota Venza,automatic,foreign,petrol,5000000
1588,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1589,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1590,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1591,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1592,2008 Toyota RAV4,automatic,foreign,petrol,2800000
1593,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
1594,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
1595,2005 Toyota HiAce,,foreign,petrol,3450000
1596,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
1597,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
1598,2012 Toyota Venza,automatic,foreign,petrol,5500000
1599,2005 Lexus ES 330,automatic,foreign,petrol,1800000
1600,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1601,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
1602,2015 Toyota Camry,automatic,foreign,petrol,5700000
1603,2008 Lexus ES 350,automatic,foreign,petrol,3000000
1604,2008 Honda CR-V,automatic,foreign,petrol,2800000
1605,2005 Volkswagen LT,,foreign,diesel,2500000
1606,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
1607,2013 Toyota Venza,automatic,foreign,petrol,5000000
1608,2010 Toyota Corolla,automatic,foreign,petrol,2700000
1609,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
1610,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
1611,2002 Toyota HiAce,automatic,foreign,petrol,3450000
1612,2008 Toyota RAV4,automatic,foreign,petrol,2800000
